id,category_name,parent_category
236,"Kids' Play Cars & Race Cars","Toys & Games"
237,"Kids' Play Boats","Toys & Games"
238,"Kids' Play Buses","Toys & Games"
239,"Kids' Play Tractors","Toys & Games"
240,"Slot Cars, Race Tracks & Accessories","Toys & Games"
241,"Sony PSP Games, Consoles & Accessories","Toys & Games"
242,"Nintendo DS Games, Consoles & Accessories","Toys & Games"
243,"PlayStation 3 Games, Consoles & Accessories","Toys & Games"
244,"Wii Games, Consoles & Accessories","Toys & Games"
245,"Xbox 360 Games, Consoles & Accessories","Toys & Games"
248,"Mac Games & Accessories","Toys & Games"
249,"Nintendo 3DS & 2DS Consoles, Games & Accessories","Toys & Games"
250,"Legacy Systems","Toys & Games"
251,"PlayStation Vita Games, Consoles & Accessories","Toys & Games"
252,"Wii U Games, Consoles & Accessories","Toys & Games"
253,"PlayStation 4 Games, Consoles & Accessories","Toys & Games"
254,"Xbox One Games, Consoles & Accessories","Toys & Games"
255,"Video Games","Toys & Games"
256,"Online Video Game Services","Toys & Games"
259,"Virtual Reality Hardware & Accessories","Toys & Games"
260,"Nintendo Switch Consoles, Games & Accessories","Toys & Games"
261,"PlayStation 5 Consoles, Games & Accessories","Toys & Games"
262,"Xbox Series X & S Consoles, Games & Accessories","Toys & Games"
263,"PC Games & Accessories","Toys & Games"
264,"Baby Girls' Clothing & Shoes","Clothing"
265,"Boys' School Uniforms","Clothing"
270,"Toys & Games","Toys & Games"
